title,description,value,status,stage,probability,expected_close_date,actual_close_date,notes
Enterprise Platform Renewal,"12‑month renewal for platform",250000,Active,Negotiation,70,2025-11-30,,Key account – needs legal review
Data Analytics Expansion,"Add-on licenses and services",85000,Active,Proposal,55,2025-10-15,,Waiting on procurement
Retail Integration Pilot,"Pilot for 20 stores",30000,Active,Qualification,35,2025-10-05,,Pilot scope agreed
Compliance Advisory,"GDPR & SOC2 advisory",45000,Active,Prospecting,20,2025-12-01,,Intro call scheduled
Green Energy Suite,"Bundle incl. support",120000,Active,Negotiation,60,2025-11-10,,Pricing approved by manager
Legal Workflow Automation,"Automation for contracts",90000,Active,Proposal,50,2025-10-20,,Needs security checklist
APAC Rollout Phase 1,"Initial rollout in JP",150000,Active,Qualification,40,2025-11-25,,Aligning stakeholders
E‑commerce Optimization,"Conversion uplift initiative",60000,Active,Proposal,45,2025-10-30,,A/B plan drafted
Financial Data Lake,"Build data foundation",200000,Active,Prospecting,25,2025-12-15,,RFP expected
Healthcare Security Upgrade,"Harden infra & app",110000,Active,Negotiation,65,2025-11-18,,Pending CISO sign-off

